hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
1,Bullard,"Fresno,CA",Fresno,California,CA,Knights,Navy,Sky Blue,White
2,St. Augustine,"San Diego,CA",San Diego,California,CA,Saints,#4B006E,#c5b358,
3,J.H. Rose,"Greenville,NC",Greenville,North Carolina,NC,Rampants,#009A2F, #B9D9EB,White
4,Melbourne,"Melbourne,FL",Melbourne,Florida,FL,Bulldogs,Green,White,
5,Hallandale,"Hallandale Beach,FL",Hallandale Beach,Florida,FL,Chargers,Maroon,Gold,White
6,Rock Island,"Rock Island,IL",Rock Island,Illinois,IL,Rocks,Crimson,Gold,
7,Atlee,"Mechanicsville,VA",Mechanicsville,Virginia,VA,Raiders,RoyalBlue,Black,Silver
8,Apopka,"Apopka,FL",Apopka,Florida,FL,Blue Darters,Blue,White,
9,Hamilton,"Hamilton,OH",Hamilton,Ohio,OH,Big Blue,Blue,White,
10,Henry Clay,"Lexington,KY",Lexington,Kentucky,KY,Blue Devils,Blue,Gold,
11,Mission Bay,"San Diego,CA",San Diego,California,CA,Buccaneers,Black,Gold,
12,Mt. Ararat,"Topsham,ME",Topsham,Maine,ME,Eagles,Blue,White,Red
13,La Grange,"La Grange,TX",La Grange,Texas,TX,Leopards,Purple,Gold,
14,Redan,"Stone Mountain,GA",Stone Mountain,Georgia,GA,Raiders,Navy,Silver,
15,Pine-Richland,"Gibsonia,PA",Gibsonia,Pennsylvania,PA,Rams,Green,White,
16,Wolfson,"Jacksonville,FL",Jacksonville,Florida,FL,Wolfpack,Scarlet,RoyalBlue,
17,Seneca,"Seneca,MO",Seneca,Missouri,MO,Indians,Blue,white,red
18,Crespi Carmelite,"Encino,CA",Encino,California,CA,Celts,Brown,White,Gold
19,John B Connally,"Austin,TX",Austin,Texas,TX,Cougars,#006400,Black,
20,Foothill,"Santa Ana,CA",Santa Ana,California,CA,Knights,Black,Gold,White
21,Farragut,"Knoxville,TN",Knoxville,Tennessee,TN,Admirals,Navy,Gold,
22,Sikeston,"Sikeston,MO",Sikeston,Missouri,MO,Bulldogs,Black,Red,
23,Chandler,"Chandler,AZ",Chandler,Arizona,AZ,Wolves,RoyalBlue,White,
24,Monsignor Edward Pace,"Miami,FL",Miami,Florida,FL,Spartans,Red,Gold,
25,Bishop Hendricken,"Warwick,RI",Warwick,Rhode Island,RI,Hawks,Green,Gold,
26,St. Amant,"St. Amant,LA",St. Amant,Louisiana,LA,Gators,Black,Gold,
27,Trimble Technical,"Fort Worth,TX",Fort Worth,Texas,TX,Bulldogs,green,White,
28,Auburn,"Auburn,WA",Auburn,Washington,WA,Trojans,#355E3B,#CFB53B,
29,Parkview Baptist,"Baton Rouge,LA",Baton Rouge,Louisiana,LA,Eagles,Blue,White,Red
30,Nova,"Davie,FL",Davie,Florida,FL,Titans,Green,Gold,
31,Southern Door,"Brussels,WI",Brussels,Wisconsin,WI,Eagles,Columbia Blu,Red,White
32,Gibson Southern,"Fort Branch,IN",Fort Branch,Indiana,IN,Titans,Maroon,#FFD700,white
33,Chippewa Hills,"Remus,MI",Remus,Michigan,MI,Warriors,RoyalBlue,Red,White
34,Belen Jesuit Prep,"Miami,FL",Miami,Florida,FL,Wolverines,Navy,Gold,White
35,Lake Wales,"Lake Wales,FL",Lake Wales,Florida,FL,Highlanders,Orange,Black,
36,Wheeler,"Marietta,GA",Marietta,Georgia,GA,Wildcats,Blue,Gold,
37,Milton,"Milton,GA",Milton,Georgia,GA,Eagles,Red,Blue,
38,Sarasota,"Sarasota,FL",Sarasota,Florida,FL,Sailors,Orange,Black,
39,Middleton,"Tampa,FL",Tampa,Florida,FL,Tigers,Maroon,Gold,
40,Coral Park,"Miami,FL",Miami,Florida,FL,Rams,Navy,Gold,
41,Woodinville,"Woodinville,WA",Woodinville,Washington,WA,Falcons,4CBB17,White,Blue
42,Bonita,"La Verne,CA",La Verne,California,CA,Bearcats,Green,White,
43,Walnut,"Walnut,CA",Walnut,California,CA,Mustangs,Columbia Blu,Gold,
44,Gulliver Prep,"Coral Gables,FL",Coral Gables,Florida,FL,Raiders,Royal Blue,White,
45,Westchester,"Los Angeles,CA",Los Angeles,California,CA,Comets,Red,Black,
46,Junipero Serra,"San Mateo,CA",San Mateo,California,CA,Padres,RoyalBlue,Gold,
48,Foothill,"Pleasanton,CA",Pleasanton,California,CA,Falcons,Gold,Blue,
49,Lincoln,"Tallahassee,FL",Tallahassee,Florida,FL,Trojans,Green,Gold,
50,Daphne,"Daphne,AL",Daphne,Alabama,AL,Trojans,Purple,Gold,
51,Huntington Beach,"Huntington Beach,CA",Huntington Beach,California,CA,Oilers,Orange,Black,
52,Billy Ryan,"Denton,TX",Denton,Texas,TX,Raiders,Navy,Red,White
53,Ozark,"Ozark,MO",Ozark,Missouri,MO,Tigers,Red,White,
54,Mountain View,"El Monte,CA",El Monte,California,CA,Vikings,Gold,Purple,White
55,Coronado,"Scottsdale,AZ",Scottsdale,Arizona,AZ,Dons,Scarlet,Navy,
56,Clearwater Central Catholic,"Clearwater,FL",Clearwater,Florida,FL,Marauders,Scarlet,Gold,
57,Greensville County,"Emporia,VA",Emporia,Virginia,VA,Eagles,4CBB17,Gold,
58,La Cueva,"Albuquerque,NM",Albuquerque,New Mexico,NM,Bears,Blue,Gray,
59,St. Mary's,"Phoenix,AZ",Phoenix,Arizona,AZ,Knights,Green,White,
60,Reed,"Sparks,NV",Sparks,Nevada,NV,Raiders,Blue,Gold,
61,Ramon Villa Mayo,"Rio Piedras,PR",Rio Piedras,Puerto Rico,PR,-,-,-,
62,Rosemead,"Rosemead,CA",Rosemead,California,CA,Panthers,Maroon,Gray,White
63,Montgomery,"Montgomery,TX",Montgomery,Texas,TX,Bears,Purple,Gold,
64,Reno,"Reno,NV",Reno,Nevada,NV,Huskies,Red,Blue,
65,Rancho Buena Vista,"Vista,CA",Vista,California,CA,Longhorns,Maroon,Silver,
66,Puerto Rico Baseball Academy,"Gurabo,PR",Gurabo,Puerto Rico,PR,-,-,-,
