yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1,14385,IMG Academy,IMG Academy,"Bradenton,FL","Bradenton,FL",Florida,-,317,42,65,8,172
2,15322,Home Schooled,Home Schooled,"--,--","--,--",None,-,243,7,13,2,145
3,66,Puerto Rico Baseball Academy,Puerto Rico Baseball Academy,"Gurabo,PR","Gurabo,PR",Puerto Rico,-,262,115,133,10,92
4,16515,P27 Sports Academy,P27 Sports Academy,"Lexington,SC","Lexington,SC",South Carolina,Blacksmiths,74,5,8,0,61
5,8805,Orange Lutheran,Orange Lutheran,"Orange,CA","Orange,CA",California,Lancers,119,10,33,5,59
6,15563,TNXL Academy,TNXL Academy,"Longwood,FL","Longwood,FL",Florida,Ducks,80,10,15,0,56
7,16499,Pro5 Baseball Academy,Pro5 Baseball Academy,"Holly Springs,NC","Holly Springs,NC",North Carolina,-,69,1,5,0,53
8,14554,Carlos Beltran Baseball Academy,Carlos Beltran Baseball Academy,"Florida,PR","Florida,PR",Puerto Rico,-,83,28,31,4,51
9,1920,Capistrano Valley,Capistrano Valley,"Mission Viejo,CA","Mission Viejo,CA",California,Cougars,144,19,49,8,48
10,12546,JSerra Catholic,JSerra Catholic,"San Juan Capistrano,CA","San Juan Capistrano,CA",California,Lions,103,11,33,3,48
11,549,Jesuit,Jesuit,"Tampa,FL","Tampa,FL",Florida,Tigers,160,30,64,13,47
12,51,Huntington Beach,Huntington Beach,"Huntington Beach,CA","Huntington Beach,CA",California,Oilers,113,22,36,10,47
13,3161,Avon Old Farms Prep School.,Avon Old Farms Prep School.,"Avon Old Farms,CT","Avon Old Farms,CT",Connecticut,Beavers,112,8,22,2,47
14,15123,Leadership Christian Academy,Leadership Christian Academy,"Guaynabo,PR","Guaynabo,PR",Puerto Rico,-,65,20,21,2,47
15,1151,De La Salle,De La Salle,"Concord,CA","Concord,CA",California,Spartans,152,11,44,4,46
